date,gross_return,net_return,turnover,transaction_cost,naive_reversal_net_return,SPY_return
2020-10-08,,,,,-0.002913570612723015,0.008862483829611634
2020-10-09,,,,,-0.008019131258560835,0.008930189994812432
2020-10-12,,,,,0.004429993132370147,0.016087688938632994
2020-10-13,,,,,-0.004630754658010999,-0.006526366507612957
2020-10-14,,,,,0.0035053044890176856,-0.0062831178172740865
2020-10-15,,,,,-0.0027460738273211212,-0.0012361259902302635
2020-10-16,,,,,-0.01216507579983733,-0.0006042383082539571
2020-10-19,,,,,-0.000864592875997727,-0.01520343992734896
2020-10-20,,,,,0.0009787063516626508,0.0040058032407972455
2020-10-21,,,,,0.011485669689682065,-0.0018929477820037732
2020-10-22,,,,,-0.0029693552052844512,0.005485205439213603
2020-10-23,,,,,-0.0037642926809414168,0.0033952214503099043
2020-10-26,,,,,-0.0024061705731970176,-0.018480094576953876
2020-10-27,,,,,-0.009145594895785546,-0.0034472479780713883
2020-10-28,,,,,-0.006789939845893974,-0.034178918592444374
2020-10-29,0.018364539212983658,0.017864539212983657,1.0,0.0005,-0.004981319049413601,0.010163452126981998
2020-10-30,0.007020788486530294,0.0065707884865302945,0.9,0.00045000000000000004,0.00044173266026491514,-0.010424849714593898
2020-11-02,0.008565518527333772,0.008065518527333771,1.0,0.0005,0.008494676741147289,0.011208445078528362
2020-11-03,,,,,0.0020463750535998147,0.0176561287225403
2020-11-04,,,,,0.028185263101494242,0.02234899752964492
2020-11-05,0.0052807564841530034,0.0048307564841530036,0.8999999999999999,0.00045,-0.012770676121681318,0.01950273460319507
2020-11-06,0.0013631889038975054,0.0008631889038975054,1.0,0.0005,0.0002867293131088466,-0.00022822410253320324
2020-11-09,,,,,-0.0031694973364286326,0.012565721075440406
2020-11-10,0.01720203979363183,0.01675203979363183,0.9000000000000001,0.0004500000000000001,0.02041789738451285,-0.0014664030923250415
2020-11-11,0.01671333891481519,0.01621333891481519,1.0,0.0005,0.023943925729449,0.007428331732548088
2020-11-12,,,,,0.0052314919826021,-0.0097008652958811
2020-11-13,,,,,0.007407597924524324,0.013844311658538944
2020-11-16,,,,,0.012942011054026127,0.012482834849486757
2020-11-17,,,,,0.002867498249062051,-0.0053785467218513405
2020-11-18,,,,,-0.0025906359574924655,-0.012035005047944747
2020-11-19,,,,,-0.00253913234926279,0.0042103533758413025
2020-11-20,,,,,-0.0010519023853425616,-0.006847632943759896
2020-11-23,,,,,0.008709282740843018,0.005994378538718426
2020-11-24,,,,,-0.0045170234302715434,0.016113681571283456
2020-11-25,,,,,0.007342275323291487,-0.001541837443147509
2020-11-27,,,,,0.010110786203304946,0.0027851486697128003
2020-11-30,,,,,-0.018741537378056655,-0.004427059523238297
2020-12-01,-0.00477284016295304,-0.005272840162953041,1.0000000000000002,0.0005000000000000001,-0.0011783392580492543,0.01093737184827459
2020-12-02,0.010108903081548937,0.009658903081548936,0.9000000000000001,0.0004500000000000001,0.009607345090686387,0.0021037072161951276
2020-12-03,,,,,0.0038124184370393623,-0.0002727669038514735
2020-12-04,,,,,-0.011775385153860958,0.008617799668927395
2020-12-07,,,,,0.0020515276305721536,-0.002055040220467097
2020-12-08,,,,,-0.006240630631985645,0.0029259913463655085
2020-12-09,,,,,0.01174372687463981,-0.008968479053849565
2020-12-10,,,,,-0.002061558839678307,-0.0003272846546392705
2020-12-11,,,,,0.0032210341024783823,-0.0011725779425000304
2020-12-14,,,,,0.00636230070413681,-0.004477330509083943
2020-12-15,-0.005412946887276827,-0.005812946887276827,0.8,0.0004,0.0018501089423190121,0.013519304838571111
2020-12-16,,,,,-0.0033198787336586166,0.0015694217252362197
2020-12-17,,,,,0.0048928210841832805,0.005592025718142324
2020-12-18,,,,,0.0009069518557974445,-0.003992686251362398
2020-12-21,0.004932219312687847,0.004482219312687847,0.9000000000000001,0.0004500000000000001,0.007338044887778884,-0.0035756340095113304
2020-12-22,-0.007974474302201374,-0.008474474302201374,1.0,0.0005,-0.009579373871174064,-0.0016852454183754473
2020-12-23,,,,,-0.005906307378225879,0.0008984521450376981
2020-12-24,,,,,-0.002389562258844324,0.0038904221253377447
2020-12-28,,,,,-0.005764345848198394,0.008590754660040112
2020-12-29,,,,,-0.003981276112735848,-0.0019077798644533406
2020-12-30,,,,,0.002941467228869277,0.0014269289530759455
2020-12-31,,,,,-0.00866036972761599,0.0050808561570891975
2021-01-04,,,,,-0.005631322426202212,-0.013613935175962544
2021-01-05,-0.002301301363086961,-0.0027013013630869612,0.8,0.0004,0.008446652585706704,0.006887271627624925
2021-01-06,,,,,-0.007907923630753193,0.005978531280534494
2021-01-07,-0.007576719755167427,-0.007976719755167427,0.8,0.0004,-0.006489242702980396,0.014857458281355429
2021-01-08,0.00618297738148237,0.00573297738148237,0.9000000000000001,0.0004500000000000001,0.0067689174306939225,0.005697491790961351
2021-01-11,-0.006038315169282571,-0.006488315169282571,0.9000000000000001,0.0004500000000000001,-0.007351783686114166,-0.006740597277364424
2021-01-12,,,,,0.000478825116366433,0.00021104789869696994
2021-01-13,,,,,0.004629200614669093,0.002693278824418721
2021-01-14,,,,,-0.010940178828932256,-0.0035022416504444376
2021-01-15,-0.0005918471857536691,-0.0010918471857536691,1.0,0.0005,-0.008030201184149632,-0.007292594749075398
2021-01-19,-0.0101584139422389,-0.0106584139422389,1.0,0.0005,-0.006836664395876907,0.007851896965884286
2021-01-20,-0.0033214066125449634,-0.0037214066125449636,0.8,0.0004,-0.00753077397707607,0.013838778708537669
2021-01-21,,,,,-0.0005236374924941218,0.0009117454798064362
2021-01-22,,,,,-0.0004540754114215665,-0.003539660078650808
2021-01-25,,,,,-0.010189930636912982,0.0039441105172883795
2021-01-26,,,,,0.004726542803783535,-0.0015610076925510752
2021-01-27,,,,,-0.010620254398602872,-0.024440580809407364
2021-01-28,-0.011869027857980953,-0.012319027857980953,0.9,0.00045000000000000004,0.013296144891229728,0.008600058241964748
2021-01-29,0.00875152099535207,0.00825152099535207,1.0,0.0005,0.0037377353026707646,-0.020019372297961135
2021-02-01,-0.0030346757645221658,-0.003384675764522166,0.7,0.00035,-0.002709607623946847,0.016645601779017527
2021-02-02,,,,,0.001420874597006366,0.014140304660542835
2021-02-03,,,,,-0.00537208139390024,0.0007860556528089813
2021-02-04,,,,,-0.005742604373975111,0.011365804066765683
2021-02-05,,,,,-0.00784704988723634,0.003935855578963032
2021-02-08,,,,,-0.00482178289703848,0.007222014177182157
2021-02-09,,,,,0.003721533512486215,-0.0006659420465046084
2021-02-10,,,,,-0.00925875961173403,-0.00043571703677136586
2021-02-11,,,,,0.001878274738018843,0.0016151332243299343
2021-02-12,,,,,-0.0019062879430038874,0.0049399477973279815
2021-02-16,,,,,-0.0013416061850385524,-0.0008660459878517823
2021-02-17,,,,,0.0030392977780196125,0.0002292962568639645
2021-02-18,,,,,-0.0027767565085701665,-0.004256129699798494
2021-02-19,,,,,0.004825905751366011,-0.0017657743825956196
2021-02-22,0.013742435887016548,0.013292435887016547,0.9000000000000001,0.0004500000000000001,0.0055519636232536,-0.007691755554218194
2021-02-23,,,,,0.003256305984873892,0.0012146068929872467
2021-02-24,-0.009969922910336094,-0.010469922910336094,1.0,0.0005,-0.0014851471958471254,0.011019041372502203
2021-02-25,0.005302417570620444,0.004952417570620444,0.7000000000000001,0.00035000000000000005,0.0016585677442494564,-0.024095796786864465
2021-02-26,0.005397288876358998,0.004947288876358998,0.9000000000000001,0.0004500000000000001,0.0007403450718869719,-0.005152399721681911
