date,net_exposure
2021-04-12,-6.938893903907228e-18
2021-04-15,-6.938893903907228e-18
2021-04-16,-3.469446951953614e-17
2021-04-19,3.469446951953614e-18
2021-04-20,1.3877787807814457e-17
2021-05-05,0.0
2021-05-10,-2.7755575615628914e-17
2021-05-12,-4.163336342344337e-17
2021-05-19,2.42861286636753e-17
2021-05-27,2.7755575615628914e-17
2021-05-28,-1.3877787807814457e-17
2021-06-01,-1.3877787807814457e-17
2021-06-02,-6.938893903907228e-18
2021-06-04,-1.3877787807814457e-17
2021-06-21,-1.3877787807814457e-17
2021-06-22,1.0408340855860843e-17
2021-06-23,5.204170427930421e-17
2021-06-24,-3.122502256758253e-17
2021-07-06,1.3877787807814457e-17
2021-07-14,8.326672684688674e-17
2021-07-15,0.0
2021-07-30,6.938893903907228e-17
2021-08-05,0.0
2021-08-06,1.3877787807814457e-17
2021-08-30,0.0
2021-08-31,2.42861286636753e-17
2021-09-01,-2.0816681711721685e-17
2021-09-07,6.938893903907228e-18
2021-09-08,-1.734723475976807e-17
2021-09-09,-1.0408340855860843e-17
2021-09-10,-6.938893903907228e-18
2021-09-20,0.0
2021-09-21,3.469446951953614e-17
2021-09-28,-2.0816681711721685e-17
2021-09-30,-2.7755575615628914e-17
2021-10-01,-1.3877787807814457e-17
2021-10-04,4.163336342344337e-17
2021-10-05,0.0
2021-10-15,-4.163336342344337e-17
2021-10-18,2.7755575615628914e-17
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,-2.0816681711721685e-17
2021-10-22,-1.734723475976807e-17
2021-10-28,3.469446951953614e-17
2021-10-29,3.469446951953614e-18
2021-11-03,0.0
2021-11-04,-5.898059818321144e-17
2021-11-05,-6.938893903907228e-18
2021-11-24,4.5102810375396984e-17
2021-11-26,6.938893903907228e-18
2021-12-01,2.0816681711721685e-17
2021-12-02,1.3877787807814457e-17
2021-12-08,6.938893903907228e-18
2022-01-10,1.3877787807814457e-17
2022-01-11,0.0
2022-01-12,-1.3877787807814457e-17
2022-01-19,2.7755575615628914e-17
2022-01-20,2.7755575615628914e-17
2022-01-27,2.7755575615628914e-17
2022-01-28,-2.7755575615628914e-17
2022-01-31,2.7755575615628914e-17
2022-02-23,2.0816681711721685e-17
2022-02-24,-5.551115123125783e-17
2022-02-25,1.3877787807814457e-17
2022-03-04,1.0408340855860843e-17
2022-03-10,-4.163336342344337e-17
2022-03-11,4.163336342344337e-17
2022-03-14,0.0
2022-03-30,-3.469446951953614e-17
2022-04-07,-2.7755575615628914e-17
2022-04-08,1.3877787807814457e-17
2022-04-11,-3.469446951953614e-18
2022-04-12,3.469446951953614e-18
2022-04-13,6.938893903907228e-18
2022-04-21,5.551115123125783e-17
2022-04-22,0.0
2022-05-05,-2.7755575615628914e-17
2022-05-06,1.3877787807814457e-17
2022-05-12,-3.469446951953614e-17
2022-05-13,5.898059818321144e-17
2022-05-19,-1.3877787807814457e-17
2022-05-23,0.0
2022-05-24,-1.3877787807814457e-17
2022-06-08,4.5102810375396984e-17
2022-06-09,-6.938893903907228e-18
2022-06-16,-6.938893903907228e-18
2022-06-17,-3.469446951953614e-17
2022-07-06,-1.0408340855860843e-17
2022-07-25,0.0
2022-07-26,0.0
2022-08-09,1.3877787807814457e-17
2022-08-25,1.3877787807814457e-17
2022-08-26,-1.3877787807814457e-17
2022-08-29,-2.7755575615628914e-17
2022-08-30,1.3877787807814457e-17
2022-09-07,2.7755575615628914e-17
2022-09-08,1.3877787807814457e-17
2022-09-09,-2.7755575615628914e-17
2022-09-23,-6.938893903907228e-18
2022-09-26,3.469446951953614e-18
2022-09-27,-3.8163916471489756e-17
2022-10-03,-3.469446951953614e-18
2022-10-11,-1.3877787807814457e-17
2022-10-17,-4.163336342344337e-17
2022-10-18,-1.734723475976807e-17
2022-10-19,0.0
2022-10-20,0.0
2022-10-21,0.0
2022-10-25,-4.85722573273506e-17
2022-10-31,2.0816681711721685e-17
2022-11-01,1.734723475976807e-17
2022-11-02,1.3877787807814457e-17
2022-11-04,-3.8163916471489756e-17
2022-11-10,6.938893903907228e-18
2022-11-11,-6.938893903907228e-18
2022-11-17,-6.938893903907228e-18
2022-11-18,1.0408340855860843e-17
2022-12-08,6.245004513516506e-17
2022-12-09,5.551115123125783e-17
2022-12-12,-6.245004513516506e-17
2022-12-20,0.0
2023-01-03,0.0
